Order	Name	Location	Status	lat	NS	long	EW	Elev	Type	Eruptype
1	West Eifel Volc Field	Germany	Radiocarbon	50.17	N	6.85	E	600	Maars	S0
2	Chaine des Puys	France	Radiocarbon	45.775	N	2.97	E	1464	Cinder cones	M0
3	Olot Volc Field	Spain	Holocene	42.17	N	2.53	E	893	Pyroclastic cones	M0
4	Calatrava Volc Field	Spain	Radiocarbon	38.87	N	4.02	W	1117	Pyroclastic cones	M0
5	Larderello	Italy	Historical	43.25	N	10.87	E	500	Explosion craters	S0
6	Vulsini	Italy	Historical	42.6	N	11.93	E	800	Caldera	S0
7	Alban Hills	Italy	Holocene maybe	41.73	N	12.7	E	949	Caldera	S0
8	Campi Flegrei	Italy	Historical	40.827	N	14.139	E	458	Caldera	S0
9	Vesuvius	Italy	Historical	40.821	N	14.426	E	1281	Somma volcano	S2
10	Ischia	Italy	Historical	40.73	N	13.897	E	789	Complex volcano	S0
11	Panarea	Italy	Holocene maybe	38.63	N	15.07	E	421	Stratovolcano	S0
12	Lipari	Italy	Historical	38.48	N	14.95	E	602	Stratovolcanoes	S0
13	Stromboli	Italy	Historical	38.789	N	15.213	E	924	Stratovolcano	M1
14	Vulcano	Italy	Historical	38.404	N	14.962	E	500	Stratovolcanoes	S2
15	Etna	Italy	Historical	37.734	N	15.004	E	3330	Stratovolcanoes	M1
16	Pantelleria	Italy	Historical	36.77	N	12.02	E	836	Shield volcano	S0
17	Campi Flegrei Mar Sicilia	Italy	Historical	37.1	N	12.7	E	-8	Submarine volcanoes	M0
18	Methana	Greece	Historical	37.615	N	23.336	E	760	Lava domes	S0
19	Mílos	Greece	Radiocarbon	36.699	N	24.439	E	751	Stratovolcanoes	S0
20	Santorini	Greece	Historical	36.404	N	25.396	E	367	Shield volcanoes	S1
21	Yali	Greece	Holocene	36.671	N	27.14	E	180	Lava domes	S0
22	Nisyros	Greece	Historical	36.586	N	27.16	E	698	Stratovolcano	S0
23	Kula	Turkey	Holocene	38.58	N	28.52	E	750	Cinder cones	M0
24	Karapinar Field	Turkey	Holocene	37.67	N	33.65	E	1302	Cinder cones	M0
25	Hasan Dagi	Turkey	Anthropology	38.13	N	34.17	E	3253	Stratovolcano	S0
26	G maybellü Dag	Turkey	Holocene maybe	38.25	N	34.57	E	2143	Lava dome	S0
27	Acig maybel-Nevsehir	Turkey	Anthropology	38.57	N	34.52	E	1689	Caldera	S0
28	Karaca Dag	Turkey	Holocene	37.67	N	39.83	E	1957	Shield volcano	M0
29	Erciyes Dagi	Turkey	Holocene maybe	38.52	N	35.48	E	3916	Stratovolcano	S0
