Name	Location	Status	lat	NS	long	EW	Elev	Type	Eruptype
Unnamed	Taiwan-E of	Uncertain	20.93	N	134.75	E	-6000	Submarine volcano  maybe	U0
Unnamed	Sangihe Is-Indonesia	Uncertain	3.97	N	124.17	E	-5000	Submarine volcano  maybe	U0
Yersey	Lesser Sunda Is	Uncertain	-7.53	S	123.95	E	-3800	Submarine volcano  maybe	U0
Emperor of China	Banda Sea	Uncertain	-6.62	S	124.22	E	-2850	Submarine volcano  maybe	U0
Unnamed	SW Pacific	Hydrophonic	-25.78	S	168.63	E	-2400	Submarine volcano	U0
Nieuwerkerk	Banda Sea	Uncertain	-6.6	S	124.675	E	-2285	Submarine volcano  maybe	U0
Unnamed	New Guinea-NE of	Uncertain	-4.311	S	146.256	E	-2000	Submarine volcano  maybe	U0
Brothers	New Zealand	Fumarolic	-34.875	S	179.075	E	-1350	Submarine volcano	U0
Unnamed	Admiralty Is-SW Pacific	Hydrophonic	-3.03	S	147.78	E	-1300	Submarine volcano	U0
Volcano W	Kermadec Is	Fumarolic	-31.85	S	-179.18	W	-900	Submarine volcanoes	U0
Clark	New Zealand	Fumarolic	-36.446	S	177.839	E	-860	Submarine volcano	U0
Kana Keoki	Solomon Is-SW Pacific	Holocene	-8.75	S	157.03	E	-700	Submarine volcano	U0
Boomerang Seamount	Indian O.-S	Historical	-37.721	S	77.825	E	-650	Submarine volcano	U0
Vailulu'u	Samoa-SW Pacific	Historical	-14.215	S	-169.058	W	-592	Submarine volcano	U0
Unnamed	Tonga-SW Pacific	Historical	-21.38	S	-175.65	W	-500	Submarine volcano	U0
Zengyu	Taiwan-N of	Uncertain	26.18	N	122.458	E	-418	Submarine volcano	U0
Unnamed	Tonga-SW Pacific	Fumarolic	-24.8	S	-177.02	W	-385	Submarine volcano	U0
Unnamed	Solomon Is-SW Pacific	Holocene	-8.92	S	158.03	E	-240	Submarine volcanoes	U0
Rumble III	New Zealand	Hydrophonic	-35.745	S	178.478	E	-220	Submarine volcano	U0
Iriomote-jima	Ryukyu Is	Historical	24.558	N	124	E	-200	Submarine volcano	U0
Monowai Seamount	Kermadec Is	Historical	-25.887	S	-177.188	W	-132	Submarine volcano	U0
Unnamed	Taiwan-E of	Uncertain	21.83	N	121.18	E	-115	Submarine volcano	U0
Unnamed	Taiwan-N of	Uncertain	25.4	N	122.2	E	-100	Submarine volcano	U0
Eastern Gemini Seamount	SW Pacific	Historical	-20.98	S	170.28	E	-80	Submarine volcano	U0
Giggenbach	Kermadec Is	Fumarolic	-30.036	S	-178.712	W	-65	Submarine volcano	U0
Unnamed	Tonga-SW Pacific	Fumarolic	-21.15	S	-175.75	W	-65	Submarine volcano	U0
Dallol	Ethiopia	Historical	14.242	N	40.3	E	-48	Explosion craters	S0
Unnamed	Tonga-SW Pacific	Historical	-18.325	S	-174.365	W	-40	Submarine volcano	S0
Curacoa	Tonga-SW Pacific	Historical	-15.62	S	-173.67	W	-33	Submarine volcano	S0
Unnamed	Luzon-N of	Historical	20.33	N	121.75	E	-24	Submarine volcano	S0
Kavachi	Solomon Is-SW Pacific	Historical	-9.02	S	157.95	E	-20	Submarine volcano	M1
Cendres Ile des	SE Asia	Historical	10.158	N	109.014	E	-20	Submarine volcanoes	M0
Falcon Island	Tonga-SW Pacific	Historical	-20.32	S	-175.42	W	-17	Submarine volcano	S0
Unnamed	Tonga-SW Pacific	Historical	-20.85	S	-175.53	W	-13	Submarine volcano	S0
Unnamed	Taiwan-E of	Uncertain	19.17	N	132.25	E	-10	Submarine volcano  maybe	S0
Campi Flegrei Mar Sicilia	Italy	Historical	37.1	N	12.7	E	-8	Submarine volcanoes	M0
Banua Wuhu	Sangihe Is-Indonesia	Historical	3.138	N	125.491	E	-5	Submarine volcano	S1
Home Reef	Tonga-SW Pacific	Historical	-18.992	S	-174.775	W	-2	Submarine volcano	S0
Kuwae	Vanuatu-SW Pacific	Historical	-16.829	S	168.536	E	-2	Caldera	M0
Metis Shoal	Tonga-SW Pacific	Historical	-19.18	S	-174.87	W	43	Submarine volcano	S0
Curtis Island	Kermadec Is	Uncertain	-30.542	S	-178.561	W	137	Submarine volcano	S0
Ritter Island	New Guinea-NE of	Historical	-5.52	S	148.121	E	140	Stratovolcano	M1
Wallis Islands	SW Pacific	Holocene	-13.3	S	-176.17	W	143	Shield volcanoes	M0
Hunga Tonga-Hunga Ha'apai	Tonga-SW Pacific	Historical	-20.57	S	-175.38	W	149	Submarine volcano	S0
Matthew Island	SW Pacific	Historical	-22.33	S	171.32	E	177	Stratovolcano	S0
Mundua	New Britain-SW Pac	Holocene	-4.63	S	149.35	E	179	Complex volcano	M0
Yali	Greece	Holocene	36.671	N	27.14	E	180	Lava domes	S0
Fonualei	Tonga-SW Pacific	Historical	-18.02	S	-174.325	W	180	Stratovolcano	S0
Cù-Lao Ré Group	SE Asia	Holocene	15.38	N	109.12	E	181	Volcanic field	S0
Zubair Jebel	Red Sea	Historical	15.05	N	42.18	E	191	Shield volcano	M0
Tavui	New Britain-SW Pac	Radiocarbon	-4.12	S	152.2	E	200	Caldera	S0
Iamalele	D'Entrecasteaux Is	Holocene	-9.52	S	150.53	E	200	Lava domes	S0
Nosy-Be	Madagascar	Holocene	-13.32	S	48.48	E	214	Cinder cones	S0
Unnamed	Vanuatu-SW Pacific	Holocene maybe	-16.992	S	168.592	E	216	Stratovolcanoes	M0
Goodenough	D'Entrecasteaux Is	Holocene	-9.48	S	150.35	E	220	Volcanic field	S0
Didicas	Luzon-N of	Historical	19.077	N	122.202	E	228	Compound volcano	S0
